,0,1,2,3,4,5
0,No [7],Country,Overall Score,Affordability,Availability,Quality & safety
1,1st,Singapore,87.4,95.4,83.0,79.4
2,2nd,Ireland,84.0,90.5,76.8,87.7
3,3rd,United States,83.7,87.4,78.3,89.1
4,4th,Switzerland,83.1,83.8,84.3,78.2
5,=5th,Finland,82.9,84.1,78.6,91.8
6,=5th,Norway,82.9,81.9,81.0,90.5
7,7th,Sweden,82.7,85.0,78.1,89.4
8,8th,Canada,82.4,83.3,80.0,86.7
9,9th,Australia,82.0,85.6,76.2,88.9
10,10th,Austria,81.7,85.4,78.6,81.1
11,11th,Germany,81.5,84.9,79.1,79.8
12,12th,Netherlands,81.4,86.6,77.1,79.9
13,13th,Qatar,81.2,98.9,64.0,84.1
14,14th,Denmark,81.0,85.4,74.8,87.2
15,15th,Belgium,80.7,84.4,76.2,83.9
16,16th,France,80.4,83.8,74.8,87.1
17,17th,United Kingdom,79.1,83.6,74.4,80.9
18,18th,Israel,79.0,83.0,73.6,83.8
19,19th,New Zealand,78.8,84.6,75.5,73.5
20,20th,Portugal,77.8,81.3,70.9,88.0
21,=21st,Japan,76.5,82.4,71.0,76.7
22,=21st,United Arab Emirates,76.5,89.8,63.7,78.5
23,23rd,Italy,75.8,82.5,68.3,79.7
24,24th,Poland,75.6,81.1,69.3,79.5
25,=25th,Chile,75.5,80.5,71.3,74.7
26,=25th,Spain,75.5,82.3,65.9,84.7
27,27th,Kuwait,74.8,88.1,62.3,75.9
28,28th,Malaysia,73.8,81.7,67.7,70.6
29,29th,South Korea,73.6,75.8,71.2,74.9
30,30th,Saudi Arabia,73.5,86.3,61.8,73.5
31,31st,Greece,73.4,77.8,64.9,86.0
32,32nd,Czech Republic,73.1,82.6,66.3,68.1
33,33rd,Uruguay,72.8,79.3,66.7,73.3
34,34th,Hungary,72.7,80.8,66.1,70.5
35,35th,China,71.0,74.8,66.9,72.6
36,36th,Belarus,70.9,76.0,62.9,80.2
37,37th,Argentina,70.8,78.9,60.2,79.5
38,38th,Romania,70.2,79.3,64.3,64.1
39,=39th,Brazil,70.1,77.0,58.8,84.0
40,=39th,Costa Rica,70.1,75.6,63.1,75.6
41,41st,Turkey,69.8,74.7,64.8,71.1
42,42nd,Russia,69.7,79.8,60.1,70.9
43,=43rd,Colombia,69.4,73.7,65.6,69.3
44,=43rd,Mexico,69.4,74.9,62.3,75.2
45,45th,Panama,68.8,73.8,63.1,71.8
46,46th,Oman,68.4,77.8,57.6,74.4
47,47th,Slovakia,68.3,78.6,62.1,59.4
48,=48th,Kazakhstan,67.3,77.5,57.7,68.3
49,=48th,South Africa,67.3,70.8,64.5,66.2
50,50th,Bahrain,66.6,81.9,56.3,56.9
51,51st,Bulgaria,66.2,79.0,54.2,66.8
52,52nd,Thailand,65.1,77.1,58.7,52.6
